"","Parcel","ParcelGroup","PercentDamage"
"1","LH_Vis_1","Vis",0
"2","LH_Vis_2","Vis",0
"3","LH_Vis_3","Vis",0
"4","LH_Vis_4","Vis",0
"5","LH_Vis_5","Vis",0
"6","LH_Vis_6","Vis",0
"7","LH_Vis_7","Vis",0
"8","LH_Vis_8","Vis",0
"9","LH_Vis_9","Vis",0
"10","LH_SomMot_1","SomMot",0
"11","LH_SomMot_2","SomMot",0
"12","LH_SomMot_3","SomMot",0
"13","LH_SomMot_4","SomMot",0
"14","LH_SomMot_5","SomMot",0
"15","LH_SomMot_6","SomMot",0
"16","LH_DorsAttn_Post_1","DorsAttn",0
"17","LH_DorsAttn_Post_2","DorsAttn",0
"18","LH_DorsAttn_Post_3","DorsAttn",0
"19","LH_DorsAttn_Post_4","DorsAttn",0
"20","LH_DorsAttn_Post_5","DorsAttn",0
"21","LH_DorsAttn_Post_6","DorsAttn",0
"22","LH_DorsAttn_PrCv_1","DorsAttn",0
"23","LH_DorsAttn_FEF_1","DorsAttn",0
"24","LH_SalVentAttn_ParOper_1","SalVentAttn",0
"25","LH_SalVentAttn_FrOperIns_1","SalVentAttn",0
"26","LH_SalVentAttn_FrOperIns_2","SalVentAttn",0
"27","LH_SalVentAttn_PFCl_1","SalVentAttn",0
"28","LH_SalVentAttn_Med_1","SalVentAttn",0
"29","LH_SalVentAttn_Med_2","SalVentAttn",0
"30","LH_SalVentAttn_Med_3","SalVentAttn",0
"31","LH_Limbic_OFC_1","Limbic",0
"32","LH_Limbic_TempPole_1","Limbic",0
"33","LH_Limbic_TempPole_2","Limbic",0
"34","LH_Cont_Par_1","Cont",0
"35","LH_Cont_PFCl_1","Cont",0
"36","LH_Cont_pCun_1","Cont",0
"37","LH_Cont_Cing_1","Cont",0
"38","LH_Default_Temp_1","Default",0
"39","LH_Default_Temp_2","Default",0
"40","LH_Default_Par_1","Default",0
"41","LH_Default_Par_2","Default",0
"42","LH_Default_PFC_1","Default",0
"43","LH_Default_PFC_2","Default",0
"44","LH_Default_PFC_3","Default",0
"45","LH_Default_PFC_4","Default",0
"46","LH_Default_PFC_5","Default",0
"47","LH_Default_PFC_6","Default",0
"48","LH_Default_PFC_7","Default",0
"49","LH_Default_pCunPCC_1","Default",0
"50","LH_Default_pCunPCC_2","Default",0
"51","RH_Vis_1","Vis",0
"52","RH_Vis_2","Vis",0
"53","RH_Vis_3","Vis",0
"54","RH_Vis_4","Vis",0
"55","RH_Vis_5","Vis",0
"56","RH_Vis_6","Vis",0
"57","RH_Vis_7","Vis",0
"58","RH_Vis_8","Vis",0
"59","RH_SomMot_1","SomMot",15.9757408260402
"60","RH_SomMot_2","SomMot",57.338850174216
"61","RH_SomMot_3","SomMot",82.5913861744481
"62","RH_SomMot_4","SomMot",34.7712216915729
"63","RH_SomMot_5","SomMot",21.7792421746293
"64","RH_SomMot_6","SomMot",0.0808314087759815
"65","RH_SomMot_7","SomMot",0
"66","RH_SomMot_8","SomMot",0
"67","RH_DorsAttn_Post_1","DorsAttn",0
"68","RH_DorsAttn_Post_2","DorsAttn",0
"69","RH_DorsAttn_Post_3","DorsAttn",0
"70","RH_DorsAttn_Post_4","DorsAttn",0
"71","RH_DorsAttn_Post_5","DorsAttn",0
"72","RH_DorsAttn_PrCv_1","DorsAttn",94.2277196320964
"73","RH_DorsAttn_FEF_1","DorsAttn",4.45893549524145
"74","RH_SalVentAttn_TempOccPar_1","SalVentAttn",0.343396766347117
"75","RH_SalVentAttn_TempOccPar_2","SalVentAttn",9.06732696615965
"76","RH_SalVentAttn_FrOperIns_1","SalVentAttn",31.7742315855672
"77","RH_SalVentAttn_Med_1","SalVentAttn",0
"78","RH_SalVentAttn_Med_2","SalVentAttn",0
"79","RH_Limbic_OFC_1","Limbic",0
"80","RH_Limbic_TempPole_1","Limbic",0
"81","RH_Cont_Par_1","Cont",0
"82","RH_Cont_Par_2","Cont",0
"83","RH_Cont_PFCl_1","Cont",0
"84","RH_Cont_PFCl_2","Cont",1.43501805054152
"85","RH_Cont_PFCl_3","Cont",0
"86","RH_Cont_PFCl_4","Cont",29.6324852223079
"87","RH_Cont_Cing_1","Cont",0
"88","RH_Cont_PFCmp_1","Cont",0
"89","RH_Cont_pCun_1","Cont",0
"90","RH_Default_Par_1","Default",0
"91","RH_Default_Temp_1","Default",0
"92","RH_Default_Temp_2","Default",0
"93","RH_Default_Temp_3","Default",0
"94","RH_Default_PFCv_1","Default",0
"95","RH_Default_PFCv_2","Default",9.99766409717356
"96","RH_Default_PFCdPFCm_1","Default",0
"97","RH_Default_PFCdPFCm_2","Default",0
"98","RH_Default_PFCdPFCm_3","Default",0.0713848664083214
"99","RH_Default_pCunPCC_1","Default",0
"100","RH_Default_pCunPCC_2","Default",0
"101","Caudate nucleus (Left)","Striatum",0
"102","Caudate nucleus (Right)","Striatum",0
"103","Lenticular nucleus, putamen (Left)","Striatum",0
"104","Lenticular nucleus, putamen (Right)","Striatum",0
"105","Lenticular nucleus, pallidum (Left)","Striatum",0
"106","Lenticular nucleus, pallidum (Right)","Striatum",0.493421052631579
"107","Thalamus (Left)","Thalamus",0
"108","Thalamus (Right)","Thalamus",0
"109","Cerebelum_Crus1_L","Cerebellum",0
"110","Cerebelum_Crus1_R","Cerebellum",0
"111","Cerebelum_Crus2_L","Cerebellum",0
"112","Cerebelum_Crus2_R","Cerebellum",0
"113","Cerebelum_3_L","Cerebellum",0
"114","Cerebelum_3_R","Cerebellum",0
"115","Cerebelum_4_5_L","Cerebellum",0
"116","Cerebelum_4_5_R","Cerebellum",0
"117","Cerebelum_6_L","Cerebellum",0
"118","Cerebelum_6_R","Cerebellum",0
"119","Cerebelum_7b_L","Cerebellum",0
"120","Cerebelum_7b_R","Cerebellum",0
"121","Cerebelum_8_L","Cerebellum",0
"122","Cerebelum_8_R","Cerebellum",0
"123","Cerebelum_9_L","Cerebellum",0
"124","Cerebelum_9_R","Cerebellum",0
"125","Cerebelum_10_L","Cerebellum",0
"126","Cerebelum_10_R","Cerebellum",0
"127","Vermis_1_2","Cerebellum",0
"128","Vermis_3","Cerebellum",0
"129","Vermis_4_5","Cerebellum",0
"130","Vermis_6","Cerebellum",0
"131","Vermis_7","Cerebellum",0
"132","Vermis_8","Cerebellum",0
"133","Vermis_9","Cerebellum",0
"134","Vermis_10","Cerebellum",0
"135","Brainstem","Brainstem",0
